계약일,자치구명,법정동명,건물명,물건금액(만원),평,평당금액(만원),층,건축년도,건물연령
2026-01-03,동작구,사당동,삼성래미안,146000,25.70317935686844,5680.23114856356,19.0,2003.0,23.0
2026-01-03,강북구,미아동,삼각산아이원,77500,25.62392231599964,3024.51744289003,12.0,2003.0,23.0
2026-01-03,송파구,오금동,삼성,114500,22.26154823486705,5143.397880146758,1.0,1989.0,37.0
2026-01-03,강동구,성내동,성내2차e-편한세상,108000,25.649635478113563,4210.586154027597,10.0,2004.0,22.0
2026-01-03,강동구,암사동,선사현대아파트,148500,22.037692470581117,6738.455044612217,20.0,2000.0,26.0
2026-01-03,성북구,석관동,석관래미안,96700,25.664760867592342,3767.812234794908,6.0,2009.0,17.0
2026-01-03,마포구,창전동,서강예가,183000,25.709532020449526,7117.982538711348,4.0,2007.0,19.0
2026-01-03,구로구,신도림동,미성,70500,15.866533563239255,4443.314585319351,12.0,1987.0,39.0
2026-01-03,동대문구,청량리동,미주,149900,37.74087182744956,3971.821336966976,9.0,1978.0,48.0
2026-01-03,구로구,개봉동,삼환,55000,17.968962700789547,3060.833333333333,4.0,1995.0,31.0
2026-01-03,강동구,길동,삼익파크맨션,115000,19.154793235925826,6003.719204042956,9.0,1982.0,44.0
2026-01-03,은평구,응암동,백련산에스케이뷰아이파크,97500,18.10630123725686,5384.865673137969,18.0,2020.0,6.0
2026-01-03,강동구,명일동,삼익가든,139000,21.94694013370844,6333.456926257753,6.0,1984.0,42.0
2026-01-03,영등포구,당산동3가,삼익,115000,25.00226880842182,4599.582577132485,4.0,1979.0,47.0
2026-01-03,중랑구,면목동,삼성제이드아파트,29500,11.117161266902624,2653.555102040816,8.0,2015.0,11.0
2026-01-03,성북구,보문동1가,보문 센트럴 아이파크,132367,23.038993254076292,5745.34653230042,26.0,0.0,2026.0
2026-01-03,송파구,방이동,올림픽선수기자촌1단지,330000,30.498835345010132,10820.08530053561,10.0,1988.0,38.0
2026-01-03,영등포구,양평동1가,신동아,98500,15.3704207883353,6408.41271403267,6.0,1982.0,44.0
2026-01-03,은평구,불광동,불광롯데캐슬,98000,18.14744229663914,5400.210035005834,14.0,2018.0,8.0
2026-01-03,노원구,상계동,청암2단지,43000,15.055812687176696,2856.0397830018082,15.0,2001.0,25.0
